2024-12-14T10:36:36.946Z: [32minfo[39m: POST /auth/signin 200 185.590 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:36:36 GMT
2024-12-14T10:36:36.981Z: [32minfo[39m: OPTIONS /vehicle 204 0.099 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:36:36 GMT
2024-12-14T10:36:36.984Z: [32minfo[39m: OPTIONS /vehicle 204 0.086 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:36:36 GMT
2024-12-14T10:36:37.087Z: [32minfo[39m: GET /vehicle 304 101.530 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:36:37 GMT
2024-12-14T10:36:37.189Z: [32minfo[39m: GET /vehicle 304 100.752 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:36:37 GMT
2024-12-14T10:41:48.652Z: [32minfo[39m: OPTIONS /vehicle 204 0.121 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:41:48 GMT
2024-12-14T10:41:48.756Z: [32minfo[39m: GET /vehicle 304 101.053 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:41:48 GMT
2024-12-14T10:41:56.779Z: [32minfo[39m: OPTIONS /vehicle 204 0.077 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:41:56 GMT
2024-12-14T10:41:56.782Z: [32minfo[39m: OPTIONS /vehicle 204 0.110 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:41:56 GMT
2024-12-14T10:41:56.889Z: [32minfo[39m: GET /vehicle 304 103.280 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:41:56 GMT
2024-12-14T10:41:56.991Z: [32minfo[39m: GET /vehicle 304 101.171 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:41:56 GMT
2024-12-14T10:52:58.434Z: [32minfo[39m: OPTIONS /vehicle 204 0.094 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:52:58 GMT
2024-12-14T10:52:58.560Z: [32minfo[39m: POST /vehicle 201 122.458 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:52:58 GMT
2024-12-14T10:52:58.666Z: [32minfo[39m: GET /vehicle 200 101.227 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:52:58 GMT
